fight_id,event_date,weight_class,diff_pre_slpm,diff_pre_sapm,diff_pre_str_acc,diff_pre_str_def,diff_pre_td_avg,diff_pre_td_acc,diff_pre_td_def,diff_pre_sub_avg,diff_pre_kd_avg,diff_pre_ctrl_pct,diff_pre_win_pct,diff_age_at_fight,diff_height_inches,diff_reach_inches,diff_prior_fight_count,target_win,target_method
21392a61a2cf24a3,2012-09-29,Bantamweight,-0.007936507936507908,1.3587301587301583,-0.09375668773451656,-0.0766638143303704,2.142857142857143,0.08620689655172409,-0.20123839009287925,0.9047619047619047,-0.1190476190476191,0.16455026455026453,0.09523809523809523,0.6789869952087599,-1.0,0.0,-1,1,KO/TKO
1bf7f647f309464e,2015-08-23,Bantamweight,-0.3642857142857143,-0.3732142857142855,0.06953110914695548,0.013580391239965683,-0.4017857142857142,-0.03296703296703296,-0.41481481481481486,0.45535714285714285,-0.026785714285714274,0.020625000000000004,0.0,-8.698151950718689,1.0,5.0,-6,1,Submission
97ad3419f2029ba1,2014-01-25,Bantamweight,0.10815047021943558,0.46802507836990603,-0.13689851099344486,0.09259351625093726,-0.949843260188088,-0.08187134502923976,0.03679653679653683,0.07053291536050157,0.45141065830721006,-0.20811389759665622,0.02777777777777779,-5.075975359342912,0.0,1.0,3,1,KO/TKO
5fe5c8cb69d8825e,2014-06-14,Bantamweight,-0.7852941176470587,-1.5593137254901959,0.03256672991048931,0.00316918963016688,0.36764705882352944,0.2485380116959064,0.022608695652173938,0.125,0.0735294117647059,0.1377205882352941,0.0,4.657084188911707,1.0,-2.0,4,1,Decision
e0e41464c1bc7ee1,2012-05-15,Bantamweight,-0.23999999999999977,-0.3866666666666667,0.14328349431776416,-0.12263938848920863,-0.5999999999999999,-0.16666666666666669,-0.75,2.1999999999999997,-0.2,-0.019555555555555548,0.0,0.8240930869267657,0.0,0.0,-4,0,Decision
19828eb12f6d41a8,2013-06-15,Bantamweight,1.2421052631578948,-0.3171052631578948,-0.0820553790993589,0.2180389692017599,0.6710526315789473,0.16666666666666669,0.20000000000000007,-0.5921052631578947,0.3157894736842105,0.06394736842105261,0.25,8.18343600273785,-2.0,-6.0,4,1,Decision
c88a7dbe7717d2da,2023-01-14,Featherweight,1.326846846846847,1.1985585585585588,0.006505408365194365,0.02622850658985776,-1.064864864864865,-0.18545454545454548,0.1366279069767442,-1.8756756756756758,0.32432432432432434,-0.30424624624624624,-0.09890109890109888,-2.9924709103353884,-4.0,0.0,6,1,KO/TKO
9c22ddb8d8fc1838,2024-04-06,Featherweight,1.3453846153846154,1.3438461538461537,-0.0018951381887232777,0.0453239910724087,-1.0615384615384615,-0.04862953138815207,0.24705882352941178,-1.5346153846153845,0.34615384615384615,-0.2568076923076923,-0.05555555555555558,-4.147843942505133,-2.0,1.0,3,0,Decision
f521ecde1e96a1bd,2022-09-17,Featherweight,-0.6057142857142854,-1.0085714285714287,0.11680542707369723,-0.009053778080326702,1.4571428571428569,0.027777777777777735,0.16666666666666663,-0.5571428571428574,0.3,0.1501904761904762,0.33333333333333337,-2.253251197809721,-3.0,-1.0,-2,0,KO/TKO
e72a2130e7387637,2024-08-10,Featherweight,1.8130434782608695,0.7163043478260867,0.10047334542047431,-0.007308979812597705,0.032608695652173836,-0.08385093167701863,0.31372549019607854,-1.0597826086956523,0.0,-0.07610507246376813,0.4,-4.219028062970565,-4.0,-2.0,-7,1,Decision
