error_id,entity_type,entity_id,context,url,error_name,description,occurred_at,resolved
165,fight,bb4b3fc223c227b8,,http://ufcstats.com/fight-details/bb4b3fc223c227b8,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:23:47,0
166,fight,d93c8c77e1091a16,,http://ufcstats.com/fight-details/d93c8c77e1091a16,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:23:48,0
167,fight,2f449bd58b3d9a99,,http://ufcstats.com/fight-details/2f449bd58b3d9a99,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:23:52,0
168,fight,7f4fb0609c41af8b,,http://ufcstats.com/fight-details/7f4fb0609c41af8b,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:23:52,0
169,fight,b80e6a799c95d499,,http://ufcstats.com/fight-details/b80e6a799c95d499,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:23:52,0
170,fight,a3731e863522a698,,http://ufcstats.com/fight-details/a3731e863522a698,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:23:57,0
171,fight,d9f0851db39067ec,,http://ufcstats.com/fight-details/d9f0851db39067ec,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:23:57,0
172,fight,e5475f2cf5b74531,,http://ufcstats.com/fight-details/e5475f2cf5b74531,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:23:57,0
173,fight,b2313812d9a6ace9,,http://ufcstats.com/fight-details/b2313812d9a6ace9,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:00,0
174,fight,f2e14ec18f3b6672,,http://ufcstats.com/fight-details/f2e14ec18f3b6672,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:05,0
175,fight,4d8c89f5dde017da,,http://ufcstats.com/fight-details/4d8c89f5dde017da,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:12,0
176,fight,4bce0ce561a65288,,http://ufcstats.com/fight-details/4bce0ce561a65288,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:14,0
177,fight,97876bc571bd2b19,,http://ufcstats.com/fight-details/97876bc571bd2b19,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:20,0
178,fight,529b8ef33e81f219,,http://ufcstats.com/fight-details/529b8ef33e81f219,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:20,0
179,fight,5b6ac309667e7c3b,,http://ufcstats.com/fight-details/5b6ac309667e7c3b,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:22,0
180,fight,898bb2a421ae58d6,,http://ufcstats.com/fight-details/898bb2a421ae58d6,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:26,0
181,fight,d3a95dc092a3b98e,,http://ufcstats.com/fight-details/d3a95dc092a3b98e,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:27,0
182,fight,88e09c269e38ad7e,,http://ufcstats.com/fight-details/88e09c269e38ad7e,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:37,0
183,fight,f2a79c82c850a474,,http://ufcstats.com/fight-details/f2a79c82c850a474,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:37,0
184,fight,ca22594226b2dcc6,,http://ufcstats.com/fight-details/ca22594226b2dcc6,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:37,0
185,fight,8b7f63980b08d2ce,,http://ufcstats.com/fight-details/8b7f63980b08d2ce,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:43,0
186,fight,109cdaeb21549bcc,,http://ufcstats.com/fight-details/109cdaeb21549bcc,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:49,0
187,fight,d69249b26102b292,,http://ufcstats.com/fight-details/d69249b26102b292,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:24:53,0
188,fight,bb738930036cfeba,,http://ufcstats.com/fight-details/bb738930036cfeba,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:06,0
189,fight,0168a8cd8315e59e,,http://ufcstats.com/fight-details/0168a8cd8315e59e,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:07,0
190,fight,b90c89220d2f7d3d,,http://ufcstats.com/fight-details/b90c89220d2f7d3d,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:08,0
