fight_id,bonus_type
0ccd16201ac41ef8,Fight of the Night
0ccd16201ac41ef8,Performance of the Night
1cbb930fb77a3781,Fight of the Night
5a79d4b9a8f8352f,Performance of the Night
c3939438ae7934df,Performance of the Night
ec659c4e19f62700,Performance of the Night
3278e45b30f7dd33,Performance of the Night
279b4190d9ef1379,Fight of the Night
282d8651ca34b7f6,Submission of the Night
57bbe424b0d6837c,Knockout of the Night
81734d11cb6a8ebb,Submission of the Night
96da5813683649f5,Knockout of the Night
31362d9ea15127b2,Submission of the Night
27cdd152218b44d4,Submission of the Night
3825f998c01cbeab,Submission of the Night
64542fe846b9aea9,Performance of the Night
29657325bfc1d590,Fight of the Night
ecb4534c0066c5f3,Fight of the Night
0031c043c9f14eb8,Fight of the Night
b0f4c7788782e26e,Performance of the Night
49d065270f57ad99,Knockout of the Night
f0e299c134cbac37,Knockout of the Night
aa11f2375ee2118f,Fight of the Night
405c0b8d3960016d,Performance of the Night
5965800d88e0677c,Performance of the Night
7072a324a82c4297,Performance of the Night
b57aaf04af8bdd34,Performance of the Night
42d09ca167ecae07,Performance of the Night
f966ed41316504b9,Fight of the Night
1572dbb2433d2201,Knockout of the Night
41b9240c854b0956,Knockout of the Night
15750dc75b7426f3,Knockout of the Night
9d204f44a9988b93,Performance of the Night
fc1f199c8ba32a19,Fight of the Night
fc1f199c8ba32a19,Knockout of the Night
976d2cc3d08ca814,Performance of the Night
1744dad5ab1fe406,Fight of the Night
4c6030fafb46330f,Knockout of the Night
ba1fb8f4eb0cf2c8,Submission of the Night
b823aa523c9618b5,Performance of the Night
ae50a1a655b1a8f6,Performance of the Night
73f451d894a1d4ca,Performance of the Night
b279559f15ecf29b,Performance of the Night
3c98739eb42f96bf,Performance of the Night
b6082b551288aa5a,Performance of the Night
7e695ad026b2ec66,Performance of the Night
a26db2cee9eab1f9,Performance of the Night
d3ccf71e68480007,Fight of the Night
108434acbbd75d26,Performance of the Night
17daeb7e36e60cdf,Performance of the Night
14a40f30e0cb22c9,Performance of the Night
0bdb170e1fef36b6,Performance of the Night
582d66ce97309e29,Fight of the Night
3846db1456151f80,Submission of the Night
d006dd2513bd376d,Performance of the Night
fbbf5391ea25521b,Performance of the Night
b38450d9aa0f52b8,Fight of the Night
ecbc282542a395c2,Performance of the Night
6c5f7f98ec0b6f17,Fight of the Night
4ba97e13df33388b,Performance of the Night
cf9035f2fc2e232f,Performance of the Night
e4849375d1949c74,Performance of the Night
f557405652165aa3,Performance of the Night
c3bb60dc82345a9f,Fight of the Night
5885445f39dac389,Performance of the Night
4a116a55ffaa0d64,Performance of the Night
49bd9a2f1fbebd1f,Performance of the Night
5cee1d8f1e43d6f5,Performance of the Night
241a0833e1c76804,Fight of the Night
f19d1c8ca5660240,Performance of the Night
995d42d9ff422ed1,Submission of the Night
af178adff964d854,Submission of the Night
3445246f8e3eba24,Knockout of the Night
0ea435ddf02deb60,Performance of the Night
523815acf1bb2420,Performance of the Night
256894b49303537b,Fight of the Night
1a0031e2072f21b6,Fight of the Night
1a0031e2072f21b6,Performance of the Night
103a7d8c4f17714b,Fight of the Night
678db400f85ae15c,Performance of the Night
071d488ec8ccf254,Performance of the Night
3249bbbb7ce837ef,Fight of the Night
09f9849d363433a7,Performance of the Night
2bfb60face19904d,Performance of the Night
35e23b1917b59132,Fight of the Night
92d39a17e34cf581,Performance of the Night
32054bf2b36b0e47,Performance of the Night
e64d80dcc6853ea0,Performance of the Night
eb7b0a6f06dbdb4f,Performance of the Night
576b795e33ddd62d,Performance of the Night
00a94d5fc7ce55cf,Performance of the Night
e9d5ffcacf7d8757,Performance of the Night
49694c2d00c581ed,Performance of the Night
138c8807fef52564,Performance of the Night
37a7dc68f3a0e65d,Performance of the Night
5f19b0135414b454,Fight of the Night
00be3852000f8fe9,Performance of the Night
451d7d8c2a6bacb3,Performance of the Night
742fcd610f344810,Fight of the Night
742fcd610f344810,Performance of the Night
82f2afc6d7db44f3,Knockout of the Night
32375b4435fea5e6,Fight of the Night
859ca56770ac7672,Performance of the Night
0f9679fda36f7f41,Performance of the Night
fa2bed87e5d6c568,Fight of the Night
85099c6378ff87c5,Performance of the Night
3b12094dd48c2dc5,Performance of the Night
5095f6290670009d,Performance of the Night
646eeca9447c6965,Fight of the Night
9201312dd860fa5a,Performance of the Night
535b8e5494cbc580,Fight of the Night
ba7250ef080d1603,Performance of the Night
bfcabf1ab823942f,Performance of the Night
5adcbd20eed3795d,Knockout of the Night
eff9207427f0e02c,Knockout of the Night
b091e021e61f1950,Fight of the Night
eadcd1aaf588c786,Knockout of the Night
8d5048daf153078d,Knockout of the Night
e59aabdfba9d6c45,Performance of the Night
17616514e8fdacb9,Performance of the Night
f1afa75c8d492550,Performance of the Night
3fc8afbb23b9ac16,Fight of the Night
e1e31a8dfa9c27f6,Performance of the Night
e7d444e279914116,Knockout of the Night
c742bd1673635ded,Knockout of the Night
f5aff2f858311fbc,Fight of the Night
1af23e7aa71a1d17,Performance of the Night
0d6d212fcdf47f2e,Performance of the Night
70aa6b8f863e6861,Performance of the Night
ad63c30e22e63344,Performance of the Night
120d66cb0da0f3c3,Performance of the Night
a7f66f13f953352f,Performance of the Night
0dff8509f6a861f1,Performance of the Night
eacfc05c3e5ead5e,Fight of the Night
55376d5c205fa844,Performance of the Night
2f91307892d163ce,Performance of the Night
ca8e482388e7ac82,Knockout of the Night
2dd0a47f43dfe8f6,Submission of the Night
c715c165cb3469d2,Submission of the Night
a3902e22c10725c4,Fight of the Night
d03d0abf331df751,Fight of the Night
70af72a72b31fe4d,Performance of the Night
c6dd17ab89437805,Fight of the Night
c6dd17ab89437805,Performance of the Night
b91756d955e14d2e,Performance of the Night
6a5eb525331fa1fc,Performance of the Night
11aac355349ecc94,Performance of the Night
dbc3afd71525c83d,Fight of the Night
f59cefe16905d62c,Performance of the Night
d7a7ba46c4f075d7,Performance of the Night
0d7dc1ed5eb995e4,Fight of the Night
784a57385d0e87ff,Fight of the Night
418b6f692abe9e35,Performance of the Night
97cec48c97e7ea31,Submission of the Night
38957d8eb185391c,Performance of the Night
f0815638f558968d,Knockout of the Night
41b75c9222c33cdf,Performance of the Night
9dd931fd20d6c886,Knockout of the Night
8a660069ae42edc2,Knockout of the Night
91bb64656e13a1d4,Fight of the Night
53343bd123bcf651,Fight of the Night
b5b4b69bccb9ff4a,Performance of the Night
d4ace70b3661ee6c,Performance of the Night
a57969d4ba7d4a79,Performance of the Night
06c0c7dda5a5909d,Fight of the Night
8c082a3c69e2d192,Submission of the Night
5a878a6bebc973d7,Performance of the Night
c739195deef32b45,Submission of the Night
ec041009ce404879,Submission of the Night
5f2065f737591226,Fight of the Night
13ba941eae15552f,Fight of the Night
28d14941a678d34c,Knockout of the Night
10cfd70fdd01fe1f,Knockout of the Night
103dd3ef6e5bd9e2,Fight of the Night
52f77a9f9eb66ab7,Knockout of the Night
8e41d022b55277ae,Fight of the Night
8e41d022b55277ae,Submission of the Night
3dbf17b9946d26db,Submission of the Night
00566b4d89565373,Submission of the Night
a19d619f1b9bee7b,Performance of the Night
08c6b88ac22717ed,Performance of the Night
c67473192bda50d8,Fight of the Night
88a63555728c2025,Performance of the Night
2c160a1d1fdbf0b0,Performance of the Night
3b52291052353eef,Knockout of the Night
03de7404decde12f,Performance of the Night
d470bb3cb98d9ed7,Knockout of the Night
98a1121ffbc47657,Knockout of the Night
0653b6227894cfd7,Submission of the Night
b302e12550278ffd,Performance of the Night
4ace70bff9debdfb,Fight of the Night
4ace70bff9debdfb,Performance of the Night
1d7015553debd1c8,Performance of the Night
648396cc751c730d,Fight of the Night
eed6c9aff2234b7a,Performance of the Night
3d3e7dc7b4bf2bc4,Performance of the Night
6bcea00473e43a59,Performance of the Night
