event_id,fight_id,weight_class,title_fight,r_id,b_id,winner_id,result_status,method,round,time,time_format,referee,details
e49c2db95e572dc8,014f1da2083ca174,Bantamweight,0,d0f3959b4a9747e6,7c7332319c14094c,d0f3959b4a9747e6,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Mike Bell 28 - 29. Eric Colon 28 - 29. Ron McCarthy 28 - 29.
118463dd8db16e7f,891b2faf1bff38ee,Featherweight,0,d0f3959b4a9747e6,24656ef4d605c96f,24656ef4d605c96f,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Mike Bell 28 - 29. Pasquale Procopio 28 - 29. David Therien 28 - 29.
59aaf2730b84698a,bd0497a410822291,Ultimate Fighter Brazil 3 Middleweight Tournament,1,d53482bef23235ba,d317a5e2b3f88c5f,d317a5e2b3f88c5f,win,Submission,3,0:25,3 Rnd (5-5-5),Mario Yamasaki,Guillotine Choke After Drop to Guard
3feed7d02711d8b7,f0fe73e650b746f2,Featherweight,0,57186c150c645200,11583163f45c7b31,57186c150c645200,win,KO/TKO,1,1:31,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance
322a56923b396b4d,6b47093b62155478,Featherweight,0,d0f3959b4a9747e6,18968f97ad34f15c,d0f3959b4a9747e6,win,KO/TKO,1,4:19,3 Rnd (5-5-5),Yves Lavigne,Punches to Body At Distance
279093302a6f44b3,505d3d9b006014c8,Light Heavyweight,0,f59f1d3a2ff13edd,0541480fbf719d86,f59f1d3a2ff13edd,win,Submission,1,4:53,3 Rnd (5-5-5),Josh Rosenthal,Arm Triangle From Side Control
dbd198f780286aca,0f9be7ac405772f8,Bantamweight,1,d661ce4da776fc20,d0f3959b4a9747e6,d661ce4da776fc20,win,KO/TKO,5,3:24,5 Rnd (5-5-5-5-5),Leon Roberts,Punches to Head On Ground
a30f6d375dea5f9b,54bb1fe01939ba39,Lightweight,0,ca28cdf526d6b6e9,13935768cf8aeb86,ca28cdf526d6b6e9,win,KO/TKO,1,4:36,3 Rnd (5-5-5),Jason Herzog,Punches to Head On Ground
81ddc98fceb30086,192619174bd1ad77,Lightweight,0,ca28cdf526d6b6e9,af65aa688d13eedf,ca28cdf526d6b6e9,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,David Lethaby 27 - 30. Mike Bell 28 - 29. Sal D'amato 28 - 29.
806975e1b4f47b27,02615499125b4b5d,Lightweight,0,029afd138865d20a,ca28cdf526d6b6e9,ca28cdf526d6b6e9,win,Decision - Majority,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 27 - 29. Junichiro Kamijo 27 - 29. Ron McCarthy 28 - 28.
63eedfcc73071d41,5597b162e6c67551,Lightweight,0,85e26e2468b4e82f,b757c73f443d4fca,85e26e2468b4e82f,win,KO/TKO,1,1:54,2 Rnd (10-5),Moritaka Oshiro,Punch to Head At Distance
2f8f3c69522db931,aa6a9aeeb45577d4,Light Heavyweight,0,18b602842a24f7c5,6ebe96a116e79e52,,no_contest,Overturned,3,5:00,3 Rnd (5-5-5),Mike Beltran,Failed Drug Test by Allan Wade Vierra 28 - 29. Marcos Rosales 28 - 29. Ron McCarthy 27 - 30.
277ffed20cf07aea,ae0afbff5ba07a34,Featherweight,0,1ae8f3c723aacff4,9abc648e76c4493a,1ae8f3c723aacff4,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 27 - 30. Eric Colon 27 - 30. Derek Cleary 28 - 29.
c24b1db4b809d41b,c952f6dac20e0e9d,Lightweight,0,b18fb36a4aa00093,b757c73f443d4fca,b18fb36a4aa00093,win,Decision - Split,3,5:00,3 Rnd (5-5-5),,
7956f026e2672c47,0230a9dd2739add4,Middleweight,0,b07aed698fba8624,285ae0b4a68221f4,b07aed698fba8624,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge 27 - 30. Sal D'amato 27 - 30. Clemens Werner 27 - 30.
1d147d4163a6989b,9d59ae86a2e6c444,Light Heavyweight,0,2924886ee9c4c527,0541480fbf719d86,2924886ee9c4c527,win,KO/TKO,1,3:25,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Mount
2620f3eb21c79614,3bdba539a350721c,Featherweight,0,d0f3959b4a9747e6,4a9e305633f3ef47,d0f3959b4a9747e6,win,KO/TKO,1,4:15,3 Rnd (5-5-5),Jon Schorle,Knee to Head At Distance
706404da0775dcbc,c565bf49fce2a4cd,Welterweight,0,6e0273f9478be71e,e70de1859b7ee78e,6e0273f9478be71e,win,KO/TKO,1,2:42,3 Rnd (5-5-5),Bobby Rehman,Punch to Head At Distance
e60d773a0a42048a,0df4f4ac27cf2d26,Women's Strawweight,0,d35298b6df168456,abb68e3c7ca128f2,d35298b6df168456,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29. Derek Cleary 28 - 29. Sal D'amato 28 - 29.
